product_id,product_name,category,price,stock_quantity,supplier_id,created_date
1,Laptop Pro,Electronics,1299.99,25,1,2020-01-10
2,Wireless Mouse,Accessories,29.99,150,2,2019-05-15
3,Mechanical Keyboard,Accessories,89.99,80,2,2020-03-20
4,"Monitor 27""",Electronics,349.99,40,1,2021-01-05
5,USB-C Cable,Accessories,19.99,200,3,2019-08-12
6,Webcam HD,Electronics,79.99,60,1,2020-11-18
7,Headphones Wireless,Electronics,149.99,90,1,2021-02-14
8,Tablet Stand,Accessories,39.99,120,3,2020-07-22
9,Laptop Stand,Accessories,59.99,100,3,2021-04-30
10,Desk Mat,Accessories,24.99,180,2,2019-12-08
11,Monitor Stand,Accessories,49.99,70,3,2020-09-25
12,Cable Organizer,Accessories,14.99,250,2,2021-06-12
